index,corpus,source,id,sentence,token,time_start,time_end,start,end
1,dialect_don,020721_VIK1941_Razdorskaya.eaf,129,"А зимой выдёргивали веточку и чай пили, заваривали и пили.",пили,448.566,453.55,35,38
2,dialect_don,020721_VIK1941_Razdorskaya.eaf,129,"А зимой выдёргивали веточку и чай пили, заваривали и пили.",пили,448.566,453.55,54,57
3,dialect_don,050722_EIV1939_Melikhovskaya_1.eaf,33,"Прожила пятьдесят пять, на пятьдесят шестом году умерла.",Прожила,109.44,113.56,1,7
4,dialect_don,020721_VIK1941_Razdorskaya.eaf,278,А где их брали -то?,брали,1151.84,1155.863,24,28
5,dialect_don,020721_VIK1941_Razdorskaya.eaf,428,"Колхоз занял эти сады, виноградники там были.",занял,1940.999,1945.235,8,12
6,dialect_don,020721_VIK1941_Razdorskaya.eaf,544,"Ма= братик умер, маленький, Ви= Толечка был.",умер,2500.863,2506.181,12,15
7,dialect_don,050722_EIV1939_Melikhovskaya_1.eaf,32,Онкология откуда -то взялась.,взялась,106.64,109.087,22,28
8,dialect_don,050722_EIV1939_Melikhovskaya_1.eaf,81,"Пошли, там жили.",жили,276.97,278.5,12,15
9,dialect_don,050722_EIV1939_Melikhovskaya_1.eaf,167,Говорю: ну вот ты= до= дожили до какой счастливой жизни.,дожили,604.12,608.55,24,29
10,dialect_don,020721_VIK1941_Razdorskaya.eaf,712,"Дочечка -то умерла же у меня, сорок два года, рак, рак груди.",умерла,3325.178,3332.99,13,18
11,dialect_don,020721_VIK1941_Razdorskaya.eaf,810,"Ут= уткам дала, маленьким цыплятам сейчас, курям, маленьким цыплятам, большим цыплятам, курям большим.",дала,3789.449,3797.216,11,14
12,dialect_don,020721_VIK1941_Razdorskaya.eaf,851,Что она на другой день насилу поднялась и больше не сказала слова нет.,поднялась,4071.392,4075.532,32,40
13,dialect_don,050722_EIV1939_Melikhovskaya_1.eaf,211,"Вот, Шура Жиркова жила выше, говорит, в том году умерла.",жила,771.522,775.8,19,22
14,dialect_don,020721_VIK1941_Razdorskaya.eaf,862,"она клянётся, божится, что я не пила.",пила,4118.916,4122.559,34,37
15,dialect_don,050722_EIV1939_Melikhovskaya_1.eaf,212,"Надя, говорю, Макарова жила, тоже, говорю, умерла.",жила,775.8,781.473,24,27
16,dialect_don,020721_VIK1941_Razdorskaya.eaf,878,"Придём смолоть, сейчас же бабка, а ей кто -то передал, что там дети пришли твои.",передал,4179.699,4187.399,47,53
17,dialect_don,050722_EIV1939_Melikhovskaya_1.eaf,273,И вот мы пожили с ним.,пожили,1015.23,1019.09,10,15
18,dialect_don,050722_EIV1939_Melikhovskaya_1.eaf,273,Я уже пожил.,пожил,1015.23,1019.09,30,34
19,dialect_don,020721_VIK1941_Razdorskaya.eaf,1012,Никогда он её никак не обозвал.,обозвал,4868.199,4870.832,24,30
20,dialect_don,020721_VIK1941_Razdorskaya.eaf,1075,"Дали ей шапку тёплую, не надо тёплую, шляпу, жарко же.",Дали,5174.716,5178.966,1,4
21,dialect_don,020721_VIK1941_Razdorskaya.eaf,1146,"На сговоры брали, на сговоры брали людей, на сговоры.",брали,5540.293,5544.666,12,16
22,dialect_don,020721_VIK1941_Razdorskaya.eaf,1146,"На сговоры брали, на сговоры брали людей, на сговоры.",брали,5540.293,5544.666,30,34
23,dialect_don,020721_VIK1941_Razdorskaya.eaf,1150,"А тогда брали, да.",брали,5558.868,5562.054,9,13
