index,corpus,source,id,sentence,token,time_start,time_end,start,end
4001,dialect_lukh_and_teza,Vatutin_V_V_Mugreevo-Nikolskoje.eaf,185,"Ну, я отдал его вот Федотову, этому, Алексею Федотову, вот , это, приезжал, я ему отдал эту печать.",отдал,958.786,965.277,83,87
4002,dialect_lukh_and_teza,Vatutin_V_V_Mugreevo-Nikolskoje.eaf,185,"Ну, я отдал его вот Федотову, этому, Алексею Федотову, вот , это, приезжал, я ему отдал эту печать.",отдал,958.786,965.277,7,11
4003,dialect_lukh_and_teza,Vatutin_V_V_Mugreevo-Nikolskoje.eaf,185,"Ну, я отдал его вот Федотову, этому, Алексею Федотову, вот , это, приезжал, я ему отдал эту печать.",отдал,958.786,965.277,83,87
4004,russian_l2_karel,20210702a_RechnayaSelga_VZ1956.eaf,1683,Никто не украл.,украл,3250.394,3253.034,18,22
4005,dialect_luzhnikovo,201806a_lid1933.eaf,526,"И в колхоз пришли, все свое оборудование сдали: и веялки, и корову сдали, и коней сдали, колхозы -то стали.",сдали,2217.277,2226.017,42,46
4006,dialect_luzhnikovo,201806a_lid1933.eaf,526,"И в колхоз пришли, все свое оборудование сдали: и веялки, и корову сдали, и коней сдали, колхозы -то стали.",сдали,2217.277,2226.017,68,72
4007,dialect_luzhnikovo,201806a_lid1933.eaf,526,"И в колхоз пришли, все свое оборудование сдали: и веялки, и корову сдали, и коней сдали, колхозы -то стали.",сдали,2217.277,2226.017,83,87
4008,dialect_luzhnikovo,201806d_sir1941.eaf,22,Тебя не пробрало?',пробрало,,,,
4009,dialect_luzhnikovo,201806d_sir1941.eaf,174,"Это хлебушка взяла, черствый хлеб -то, я, наверно, не брала, во вторник, наверно, брала, а завтра суббота уже.",брала,953.351,960.726,55,59
4010,dialect_luzhnikovo,201806d_sir1941.eaf,174,"Это хлебушка взяла, черствый хлеб -то, я, наверно, не брала, во вторник, наверно, брала, а завтра суббота уже.",брала,953.351,960.726,83,87
4011,dialect_luzhnikovo,201806a_lid1933.eaf,526,"И в колхоз пришли, все свое оборудование сдали: и веялки, и корову сдали, и коней сдали, колхозы -то стали.",сдали,2217.277,2226.017,42,46
4012,dialect_luzhnikovo,201806a_lid1933.eaf,526,"И в колхоз пришли, все свое оборудование сдали: и веялки, и корову сдали, и коней сдали, колхозы -то стали.",сдали,2217.277,2226.017,68,72
4013,dialect_luzhnikovo,201806a_lid1933.eaf,526,"И в колхоз пришли, все свое оборудование сдали: и веялки, и корову сдали, и коней сдали, колхозы -то стали.",сдали,2217.277,2226.017,83,87
4014,dialect_luzhnikovo,201806a_lid1933.eaf,526,"И в колхоз пришли, все свое оборудование сдали: и веялки, и корову сдали, и коней сдали, колхозы -то стали.",сдали,2217.277,2226.017,42,46
4015,dialect_luzhnikovo,201806a_lid1933.eaf,526,"И в колхоз пришли, все свое оборудование сдали: и веялки, и корову сдали, и коней сдали, колхозы -то стали.",сдали,2217.277,2226.017,68,72
4016,dialect_luzhnikovo,201806a_lid1933.eaf,526,"И в колхоз пришли, все свое оборудование сдали: и веялки, и корову сдали, и коней сдали, колхозы -то стали.",сдали,2217.277,2226.017,83,87
4017,dialect_luzhnikovo,201806d_sir1941.eaf,174,"Это хлебушка взяла, черствый хлеб -то, я, наверно, не брала, во вторник, наверно, брала, а завтра суббота уже.",брала,953.351,960.726,55,59
4018,dialect_luzhnikovo,201806d_sir1941.eaf,174,"Это хлебушка взяла, черствый хлеб -то, я, наверно, не брала, во вторник, наверно, брала, а завтра суббота уже.",брала,953.351,960.726,83,87
4019,dialect_luzhnikovo,201806b_sir1941.eaf,41,"Кои сдали, которые, может быть, травмированы, можно абортировать, может быть, ну мало ли, старые, а кои сдохли.",сдали,217.055,225.019,5,9
4020,dialect_luzhnikovo,201806d_sir1941.eaf,483,Первый раз я такую брала.,брала,2571.21,2581.988,53,57
4021,dialect_luzhnikovo,201806a_lid1933.eaf,530,"Вот их и сдали, когда колхоз -то стало, а нам уже они были не нужны.",сдали,2243.024,2249.214,16,20
4022,dialect_luzhnikovo,201806a_lid1933.eaf,532,Их и сдали в колхоз.,сдали,2249.251,2253.849,6,10
4023,dialect_luzhnikovo,201806b_ams1933.eaf,332,"Ну, их тогда в интернат сдали.",сдали,1737.24,1742.237,46,50
4024,dialect_luzhnikovo,201806b_sir1941.eaf,156,"Я говорю: да, дедушка Мороз вам подал.",подал,976.339,992.424,133,137
